Department,Sex,Mode,Att-S1,Att-S2,Att-S3,Att-S4,Att-S5,Att-S6,Att-S7,Att-S8,Discounts,NO-Re-exams,GPA-S1,GPA-S2,GPA-S3,GPA-S4,GPA-S5,GPA-S6,GPA-S7,GPA-S8,Status 
Computer-Application,Male,Parttime,0.98,0.86,0.86,0.75,0.65,0.5,0.56,0.83,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.51,0.79,0.6901,0.7991,0.7052,0.94,0.83,0.82,0,4,57.67,46.08,64.49,65.08,37.25,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.5,0.86,0.6543,0.79,0.89,0.58,0.75,0.51,0,0,78.25,71.92,31.33,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.96,0.81,0.66,0.9,0.52,0.9,0.96,0.58,20,0,20.33,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.9,0.91,0.86,0.55,0.68,0.78,0.83,0.83,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.51,0.96,0.9235,0.8027,0.8684,0.425,0.75,0.9,0,0,84.58,77.17,75.32,74,59.33,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.81,0.54,0.4795,0.76,0.66,0.56,0.82,0.93,0,0,65.5,63.92,17.25,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8,0.58,0.99,0.72,0.66,0.64,0.7,0.59,0,0,91.67,36.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.87,0.56,0.72,0.93,0.97,0.58,0.51,0.8,0,0,76.5,1.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.98,0.99,0.51,0.6,0.97,0.56,0.87,0.7,0,0,24.58,1.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.89,0.86,0.61,0.99,0.62,0.64,0.83,0.76,0,0,58.58,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.82,0.95,0.81,0.7,0.56,0.72,0.92,0.93,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.67,0.86,0.8,0.92,0.69,0.72,0.54,0.55,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.8,0.73,0.75,0.57,0.59,0.74,0.93,0.95,0,0,53.67,1.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.71,0.74,0.6995,0.57,0.65,0.53,0.72,0.5,0,0,74.42,71.5,28.17,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.88,0.65,0.6,0.55,0.98,0.73,0.71,0.88,0,0,17.08,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.84,0.7,0.522,0.99,0.84,0.77,0.81,0.75,20,0,57.5,35.08,18.93,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.81,0.8,0.236,0.6,0.6,0.68,0.63,0.61,0,1,51.25,38.17,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.78,0.78,0.58,0.54,0.97,0.75,0.82,0.88,0,0,50.42,18.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.75,0.68,0.63,0.64,0.82,0.69,0.99,0.86,0,0,65.25,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.68,0.66,0.7432,0.5986,0.5309,0.74,0.75,0.55,0,0,62.75,75.5,70.78,65.08,1.67,0,0,0,Dropout
Computer-Application,Male,Parttime,0.95,0.59,0.63,0.86,0.94,0.6,0.69,0.68,0,0,79.17,69.83,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.81,0.54,0.77,0.71,0.77,0.73,0.84,0.53,0,0,68.42,11,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.61,0.97,0.53,0.73,0.58,0.7,0.75,0.69,0,0,28,20.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.87,0.76,0.71,0.76,0.67,0.58,0.88,0.69,50,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.7,0.83,0.5657,0.54,0.71,0.95,0.61,0.71,0,0,89.5,73.83,16.67,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.82,0.55,0.76,0.66,0.54,0.72,0.5,0.84,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.74,0.56,0.4892,0.59,0.78,0.62,0.78,0.54,0,3,48.42,52.67,1.33,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.67,0.81,0.53,0.75,0.63,0.94,0.8,0.69,15,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.55,0.69,0.81,0.98,0.99,0.99,0.99,0.5,0,8,50.75,29.83,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.88,0.78,0.5689,0.78,0.55,0.9,0.88,0.7,0,2,48.25,50,12.5,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.57,0.77,0.3617,0.7586,0.64,0.89,0.56,0.62,0,0,76.5,81.58,80.25,77.17,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.52,0.61,0.99,0.62,0.65,0.89,0.52,0.94,0,0,45.25,52.25,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.62,0.81,0.7,0.55,0.68,0.73,0.61,0.88,0,0,49.83,45.17,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.92,0.73,0.6885,0.5753,0.92,0.91,0.78,0.67,0,8,56.58,45.33,53,15.71,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.54,0.68,0.8689,0.7397,0.81,0.98,0.99,0.51,20,4,53.17,52.67,50.52,44,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.77,0.78,0.61,0.69,0.65,0.68,0.93,0.65,0,0,69,28.08,0,0,0,0,0,0,Dropout
Computer-Application,Female,Parttime,0.83,0.62,0.59,0.61,0.78,0.59,0.6,0.72,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.93,0.74,0.88,0.72,0.94,0.54,0.88,0.82,0,0,55.92,6.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.81,0.9,0.57,0.66,0.6,0.53,0.83,0.59,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.94,0.95,0.95,0.91,0.68,0.7,0.96,0.7,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.61,0.96,0.98,0.53,0.72,0.99,0.8,0.55,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.93,0.69,0.7,0.91,0.96,0.59,0.57,0.57,0,0,90.08,66.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.64,0.99,0.54,0.73,0.53,0.99,0.83,0.72,0,0,34.58,13,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.59,0.92,0.5459,0.3616,0.83,0.91,0.57,0.61,50,2,42.33,41.5,31.83,13.67,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.75,0.52,0.6667,0.88,0.85,0.61,0.5,0.68,20,0,62.67,50.17,45.6,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.5683,0.4041,0.125,0.0351,0.85,0.91,0.52,0.89,0,1,59.33,60.83,49.83,22.17,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.83,0.53,0.67,0.74,0.69,0.76,0.73,0.86,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.56,0.78,0.71,0.73,0.51,0.88,0.87,0.7,0,0,32,17.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9,0.96,0.3773,0.59,0.59,0.7,0.74,0.58,0,1,72.83,63.42,0.83,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.91,0.95,0.51,0.72,0.57,0.7,0.79,0.84,0,0,41,29.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.63,0.57,0.95,0.55,0.91,0.91,0.8,0.81,0,0,35.17,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.87,0.81,0.95,0.84,0.87,0.8,0.92,0.69,0,0,74.67,30.78,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.63,0.74,0.8,0.8,0.58,0.53,0.92,0.52,0,0,1.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7,0.94,0.61,0.74,0.85,0.54,0.67,0.74,0,0,56.5,57.17,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.67,0.63,0.65,0.87,0.91,0.96,0.57,0.95,0,0,85.67,72.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.56,0.78,0.7706,0.73,0.8,0.8,0.63,0.76,0,0,64,20.33,62.08,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.89,0.69,0,0.8,0.93,0.76,0.5,0.74,0,0,82.83,55.33,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.53,0.92,0.7069,0.55,0.97,0.71,0.67,0.69,0,0,88.67,68.5,3.2,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.467,0.6,0.56,0.98,0.73,0.72,0.9,0.86,0,0,19.85,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.92,0.63,0.7772,0.573,0.9,0.6,0.83,0.85,0,0,90.5,58.5,70.67,28.17,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.8766,0.68,0.98,0.88,0.93,0.53,0.86,0.74,0,0,78.57,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.98,0.93,0.6282,0.5374,0.72,0.82,0.95,0.8,0,0,59.33,33.83,69.67,17.58,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.66,0.89,0.5385,0.5,0.5,0.82,0.62,0.62,0,0,78.58,59.67,14.17,2.83,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.74,0.86,0.59,0.5488,0.86,0.52,0.55,0.7,0,0,88.83,81.67,14.58,23.63,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7,0.6,0.89,0.67,0.68,0.89,0.92,0.93,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Parttime,0.358,0.61,0.83,0.84,0.7,0.98,0.83,0.69,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.6333,0.96,0.74,0.81,0.85,0.84,0.63,0.63,0,0,18.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.55,0.77,0.95,0.97,0.51,0.63,0.65,0.85,0,0,27.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.5444,0.5439,0.5575,0.2442,0.93,0.97,0.55,0.84,0,0,35.25,45.67,32,1.67,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.92,0.92,0.85,0.99,0.9,0.53,0.98,0.78,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.7583,0.79,0.9,0.65,0.56,0.87,0.66,0.71,0,0,28.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.8833,0.58,0.77,0.62,0.77,0.52,0.79,0.91,20,0,57.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.358,0.65,0.56,0.85,0.55,0.72,0.94,0.54,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.82,0.51,0.61,0.51,0.74,0.65,0.55,0.81,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.68,0.94,0.69,0.61,0.98,0.57,0.93,0.95,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.94,0.88,0.58,0.75,0.53,0.9,0.91,0.85,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9944,0.9006,0.885,0.7439,0.9,0.86,0.6,0.93,0,0,63.58,71,68.83,4.67,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.68,0.95,0.75,0.9,0.75,0.57,0.61,0.83,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.956,0.9121,0.8398,0.98,0.93,0.68,0.63,0.63,20,0,62,64.08,63.5,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8833,0.9,0.87,0.65,0.66,0.87,0.86,0.7,20,0,45.75,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.82,0.6,0.56,0.5,0.82,0.61,0.59,0.65,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.96,0.87,0.98,0.79,0.51,0.67,0.84,0.68,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.88,0.87,0.71,0.96,0.67,0.98,0.89,0.52,20,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.9611,0.625,0.54,0.93,0.53,0.86,0.73,0.56,0,0,78.75,29.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8049,0.94,0.59,0.63,0.9,0.6,0.79,0.67,0,0,1.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.9667,0.15,0.62,0.93,0.79,0.68,0.52,0.57,0,0,50.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9889,0.99,0.95,0.8,0.62,0.72,0.77,0.66,0,0,62.17,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.65,0.83,0.7,0.5,0.93,0.66,0.5,0.53,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.65,0.66,0.86,0.81,0.5,0.58,0.89,0.73,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.99,0.74,0.74,0.97,0.66,0.87,0.9,0.88,20,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.8589,0.99,0.98,0.96,0.84,0.85,0.73,0.62,0,0,75.75,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.69,0.84,0.61,0.54,0.9,0.86,0.61,0.98,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.4601,0.88,0.57,0.69,0.76,0.71,0.81,0.91,0,0,19.88,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7423,0.62,0.9,0.63,0.95,0.85,0.92,0.55,0,0,44.25,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.7879,0.51,0.89,0.93,0.5,0.7,0.51,0.96,30,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8896,0.8462,0.9,0.68,0.7,0.95,0.67,0.99,0,1,50.5,30,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.4161,0.76,0.92,0.83,0.88,0.93,0.99,0.69,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.96,0.93,0.8,0.71,0.65,0.61,0.63,0.82,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.65,0.99,0.88,0.92,0.97,0.59,0.56,0.52,0,0,27.25,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.4307,0.92,0.54,0.97,0.73,0.73,0.98,0.73,20,0,18,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7424,0.7,0.82,0.51,0.58,0.88,0.67,0.73,20,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.78,0.8,0.67,0.95,0.73,0.81,0.89,0.99,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.8602,0.62,0.93,0.8,0.72,0.7,0.85,0.63,0,0,34.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9141,0.6923,0.3193,0.97,0.84,0.79,0.94,0.82,0,1,54.17,52.08,1.17,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7121,0.63,0.78,0.98,0.59,0.53,0.85,0.68,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.82,0.61,0.6,0.69,0.63,0.6,0.59,0.68,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9325,0.9341,0.55,0.81,0.89,0.53,0.51,0.93,0,0,56.17,53.08,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.6333,0.87,0.79,0.86,0.91,0.51,0.79,0.95,20,0,38.42,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8834,0.8077,0.62,0.84,0.82,0.61,0.58,0.6,0,0,74.63,64.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8869,0.7733,0.7968,0.5217,0.9,0.96,0.64,0.81,0,1,49,51.25,41.67,5.33,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,1,0.89,0.6,0.85,0.92,0.59,0.67,0.6,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.4545,0.99,0.67,0.88,0.91,0.9,0.76,0.62,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.6667,0.82,0.74,0.73,0.96,0.6,0.62,0.79,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9141,0.8681,0.6068,0.6068,0.82,0.7,0.57,0.73,0,8,47.33,51.92,43.5,1.6,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.74,0.96,0.57,0.99,0.77,0.85,0.96,0.76,20,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9571,0.9725,0.5437,0.76,0.8,0.7,0.6,0.9,0,0,58,53.17,1.17,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.9,0.5868,0.6667,0.71,0.87,0.71,0.94,0.58,0,0,44.92,54.5,21.17,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7255,0.63,0.76,0.94,0.92,0.79,0.68,0.54,100,0,16.33,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8613,0.6632,0.67,0.85,0.76,0.77,0.54,0.91,0,0,44.83,0.58,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.0435,0.65,0.66,0.85,0.78,0.83,0.84,0.72,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.9827,0.819,0.4974,0.6,0.99,0.66,0.85,0.77,0,0,83.67,79.25,30.5,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8382,0.58,0.74,0.96,0.58,0.55,0.5,0.84,0,0,45.75,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9017,0.7333,0.85,0.62,0.54,0.84,0.6,0.97,17,4,47.58,40.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8786,0.7571,0.7137,0.59,0.63,0.91,0.66,0.56,17,1,47.83,46.08,18.33,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9711,0.72,0.59,0.8,0.75,0.82,0.86,0.86,0,0,74.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9364,0.8429,0.55,0.87,0.71,0.94,0.55,0.96,0,0,51,43.33,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.92,0.81,0.82,0.67,0.91,0.52,0.88,0.87,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.526,0.53,0.73,0.56,0.63,0.96,0.91,0.68,0,0,16.5,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.88,0.74,0.57,0.65,0.54,0.73,0.56,0.6,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Parttime,0.85,0.93,0.62,0.81,0.67,0.96,0.79,0.58,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.53,0.91,0.98,0.66,0.86,0.85,0.67,0.82,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.57,0.89,0.75,0.6,0.73,0.86,0.63,0.55,20,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9133,0.7143,0.85,0.83,0.64,0.69,0.54,0.65,0,0,51.67,23.25,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8555,0.7952,0.64,0.75,0.83,0.89,0.96,0.63,0,0,26.17,20.17,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9364,0.68,0.85,0.72,0.55,0.61,0.91,0.72,20,0,45,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.87,0.71,0.94,0.57,0.52,0.91,0.98,0.7,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.6705,0.89,0.78,0.75,0.89,0.73,0.99,0.77,0,0,24,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8994,0.781,0.99,0.51,0.59,0.9,0.74,0.51,0,0,43.67,42.67,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.8466,0.3017,0.82,0.58,0.94,0.95,0.96,0.94,0,0,49.33,1.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.6667,0.88,0.58,0.78,0.65,0.92,0.66,0.56,0,0,1,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7791,0.414,0.88,0.81,0.91,0.62,0.89,0.58,0,2,31.17,1.83,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8405,0.4651,0.72,0.9,0.83,0.95,0.79,0.58,0,0,43.83,1.67,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.6538,0.57,0.9,0.79,0.75,0.87,0.61,0.95,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.65,0.83,0.72,0.62,0.93,0.78,0.62,0.76,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.95,0.97,0.5,0.6,0.99,0.65,0.8,0.56,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.9571,0.9,0.69,0.76,0.7,0.75,0.67,0.58,0,0,44.83,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.92,0.91,0.79,0.74,0.81,0.85,0.83,0.59,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8944,0.91,0.8,0.79,0.57,0.95,0.57,0.51,0,0,16,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.98,0.62,0.68,0.52,0.59,0.9,0.72,0.93,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.98,0.61,0.61,0.74,0.86,0.61,0.96,0.96,20,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.8917,0,0.57,0.57,0.65,0.55,0.78,0.78,0,0,81.08,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.6994,0.3409,0.93,0.86,0.99,0.91,0.58,0.67,0,3,41.33,18.17,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.9632,0.9785,1,0.9504,0.84,0.59,0.94,0.94,0,0,82.83,81.67,86.75,3,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.94,0.96,0.97,0.99,0.54,0.73,0.53,0.96,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.6871,0.2581,0.93,0.71,0.75,0.61,0.83,0.83,0,0,44.5,17.17,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9387,0.85,0.73,0.61,0.85,0.92,0.58,0.64,0,0,37.17,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7362,0.95,0.85,0.88,0.86,0.66,0.73,0.69,0,0,26.83,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Parttime,0.6111,0.75,0.7,0.76,0.68,0.65,0.71,0.6,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.7619,0.4304,0.67,0.83,0.68,0.91,0.53,0.9,0,1,48.83,23.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.62,0.79,0.6,0.62,0.82,0.73,0.72,0.89,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.5556,0.69,0.74,0.64,0.5,0.55,0.78,0.75,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9018,0.92,0.85,0.98,0.87,0.92,0.97,0.62,0,0,61.08,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Fulltime,0.53,0.65,0.65,0.8,0.57,0.96,0.6,0.61,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.74,0.9,0.77,0.64,0.92,0.66,0.56,0.82,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Female,Parttime,0.62,0.71,0.66,0.7,0.53,0.56,0.71,0.87,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.914,0.71,0.98,0.74,0.8,0.75,0.86,0.57,0,0,32.58,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8925,0.709,0.67,0.69,0.94,0.65,0.93,0.71,0,7,39.42,44.5,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.79,0.73,0.8,0.81,0.65,0.82,0.65,0.8,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8441,0.78,0.68,0.56,0.75,0.6,0.73,0.89,0,0,25,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.9892,0.6947,0.53,0.59,0.87,0.6,0.89,0.64,0,1,51.83,16.83,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.8118,0.6032,0.54,0.79,0.83,0.81,0.54,0.77,0,2,47.33,45.33,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.7366,0.8363,0.349,0.56,0.7,0.82,0.5,0.57,0,1,52.58,63.67,20.83,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.4483,0.73,0.52,0.9,0.93,0.96,0.51,0.69,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.5298,0.92,0.53,0.91,0.96,0.59,0.56,0.53,20,0,15.67,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.931,0.96,0.73,0.79,0.76,0.91,0.81,0.8,50,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.99,0.77,0.89,0.65,0.56,0.86,0.63,0.57,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.914,0.58,0.51,0.83,0.59,0.5,0.73,0.63,0,0,21.33,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.96,0.59,0.56,0.56,0.64,0.5,0.6,0.99,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.67,0.87,0.85,0.64,0.64,0.81,0.63,0.74,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Fulltime,0.82,0.86,0.86,0.73,0.58,0.69,0.72,0.55,0,0,0,0,0,0,0,0,0,0,Dropout
Computer-Application,Male,Parttime,0.5309,0.99,0.56,0.85,0.58,0.83,0.91,0.57,0,0,0,0,0,0,0,0,0,0,Dropout
